url,transaction_type
https://immovlan.be/en/detail/residence/for-sale/1080/sint-jans-molenbeek/vbd49699,house
https://immovlan.be/en/detail/villa/for-sale/1860/meise/vbd49694,house
https://immovlan.be/en/detail/residence/for-sale/1160/oudergem/vbd49690,house
https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbd49687,house
https://immovlan.be/en/detail/mixed-building/for-sale/1470/genappe/vbd49676,house
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu66398,house
https://immovlan.be/en/detail/residence/for-sale/9940/evergem/rbu66394,house
https://immovlan.be/en/detail/residence/for-sale/9031/drongen/rbu66393,house
https://immovlan.be/en/detail/residence/for-sale/9950/waarschoot/rbu66392,house
https://immovlan.be/en/detail/villa/for-sale/1320/beauvechain/vbd49675,house
https://immovlan.be/en/detail/villa/for-sale/1970/wezembeek-oppem/vbd49674,house
https://immovlan.be/en/detail/chalet/for-sale/6560/bersillies-l-abbaye/vbd49672,house
https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbu66389,house
https://immovlan.be/en/detail/mixed-building/for-sale/6060/gilly/vbd49665,house
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbd49664,house
https://immovlan.be/en/detail/residence/for-sale/8500/kortrijk/vbd49663,house
https://immovlan.be/en/detail/residence/for-sale/5300/andenne/vbd49660,house
https://immovlan.be/en/detail/residence/for-sale/1730/asse/rbu66385,house
https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rwc41179,house
https://immovlan.be/en/detail/residence/for-sale/6940/barvaux-sur-ourthe/vbd49657,house
https://immovlan.be/en/detail/residence/for-sale/9400/ninove/rbu66384,house
https://immovlan.be/en/detail/residence/for-sale/1030/schaarbeek/vbd49655,house
https://immovlan.be/en/detail/residence/for-sale/4432/alleur/vbd49651,house
https://immovlan.be/en/detail/residence/for-sale/8501/bissegem/rbu66382,house
https://immovlan.be/en/detail/residence/for-sale/8720/wakken/rbu66380,house
https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbd49649,house
https://immovlan.be/en/detail/residence/for-sale/8740/pittem/rbu66379,house
https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbd49633,house
https://immovlan.be/en/detail/residence/for-sale/2070/burcht/rbu66376,house
https://immovlan.be/en/detail/residence/for-sale/9400/ninove/rbu66375,house
https://immovlan.be/en/detail/residence/for-sale/6600/bastogne/vbd49629,house
https://immovlan.be/en/detail/residence/for-sale/8460/oudenburg/rbu66372,house
https://immovlan.be/en/detail/residence/for-sale/9520/sint-lievens-houtem/rbu66362,house
https://immovlan.be/en/detail/residence/for-sale/9520/sint-lievens-houtem/rbu66361,house
https://immovlan.be/en/detail/residence/for-sale/9520/sint-lievens-houtem/rbu66360,house
https://immovlan.be/en/detail/residence/for-sale/9520/sint-lievens-houtem/rbu66359,house
https://immovlan.be/en/detail/residence/for-sale/3200/aarschot/rbu66333,house
https://immovlan.be/en/detail/residence/for-sale/1650/beersel/vbd49627,house
https://immovlan.be/en/detail/residence/for-sale/8560/wevelgem/rbu66330,house
https://immovlan.be/en/detail/residence/for-sale/8300/knokke-heist/rbu66321,house
https://immovlan.be/en/detail/chalet/for-sale/2230/herselt/rbu66309,house
https://immovlan.be/en/detail/residence/for-sale/3520/zonhoven/rbu66307,house
https://immovlan.be/en/detail/residence/for-sale/9450/denderhoutem/rbu66306,house
https://immovlan.be/en/detail/residence/for-sale/9406/outer/rbu66304,house
https://immovlan.be/en/detail/residence/for-sale/9450/denderhoutem/rbu66303,house
https://immovlan.be/en/detail/residence/for-sale/9500/geraardsbergen/rbu66302,house
https://immovlan.be/en/detail/residence/for-sale/7080/frameries/vbd49621,house
https://immovlan.be/en/detail/residence/for-sale/7387/honnelles/vbd49620,house
https://immovlan.be/en/detail/villa/for-sale/7061/casteau/vbd49619,house
https://immovlan.be/en/detail/residence/for-sale/1080/sint-jans-molenbeek/vbd49618,house
https://immovlan.be/en/detail/residence/for-sale/9860/oosterzele/rbu66262,house
https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbd49615,house
https://immovlan.be/en/detail/residence/for-sale/4683/vivegnis/vbd49614,house
https://immovlan.be/en/detail/residence/for-sale/9400/nederhasselt/rbu66255,house
https://immovlan.be/en/detail/residence/for-sale/9900/eeklo/rbu66253,house
https://immovlan.be/en/detail/residence/for-sale/5550/vresse-sur-semois/vbd49612,house
https://immovlan.be/en/detail/villa/for-sale/1470/genappe/vbd49609,house
https://immovlan.be/en/detail/residence/for-sale/6223/wagnelee/vbd49608,house
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbd49607,house
https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbu66215,house
https://immovlan.be/en/detail/residence/for-sale/9320/erembodegem/rbu66185,house
https://immovlan.be/en/detail/residence/for-sale/9080/beervelde/rbu66181,house
https://immovlan.be/en/detail/residence/for-sale/2930/brasschaat/rbu66172,house
https://immovlan.be/en/detail/residence/for-sale/1745/opwijk/rbu66164,house
https://immovlan.be/en/detail/residence/for-sale/1761/borchtlombeek/rbu66143,house
https://immovlan.be/en/detail/residence/for-sale/1760/roosdaal/rbu66141,house
https://immovlan.be/en/detail/residence/for-sale/9690/ruien/rbu66114,house
https://immovlan.be/en/detail/residence/for-sale/9690/ruien/rbu66113,house
https://immovlan.be/en/detail/residence/for-sale/9690/ruien/rbu66112,house
https://immovlan.be/en/detail/residence/for-sale/9690/ruien/rbu66110,house
https://immovlan.be/en/detail/residence/for-sale/1380/lasne/rbu66105,house
https://immovlan.be/en/detail/villa/for-sale/1380/lasne/rbu66101,house
https://immovlan.be/en/detail/villa/for-sale/1380/lasne/rbu66098,house
https://immovlan.be/en/detail/cottage/for-sale/1380/lasne/rbu66096,house
https://immovlan.be/en/detail/residence/for-sale/9990/maldegem/rbu66095,house
https://immovlan.be/en/detail/residence/for-sale/1380/lasne/rbu66094,house
https://immovlan.be/en/detail/residence/for-sale/1380/lasne/rbu66083,house
https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu66053,house
https://immovlan.be/en/detail/mixed-building/for-sale/1050/elsene/vbd49591,house
https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbd49590,house
https://immovlan.be/en/detail/bungalow/for-sale/9600/ronse/rbu66018,house
https://immovlan.be/en/detail/mixed-building/for-sale/9600/ronse/rbu66016,house
https://immovlan.be/en/detail/master-house/for-sale/9600/ronse/rbu66014,house
https://immovlan.be/en/detail/residence/for-sale/1930/nossegem/rbu65999,house
https://immovlan.be/en/detail/residence/for-sale/8511/aalbeke/rbu65993,house
https://immovlan.be/en/detail/residence/for-sale/8531/bavikhove/rbu65988,house
https://immovlan.be/en/detail/residence/for-sale/8500/kortrijk/rbu65986,house
https://immovlan.be/en/detail/residence/for-sale/8531/bavikhove/rbu65985,house
https://immovlan.be/en/detail/villa/for-sale/9080/lochristi/rbu65984,house
https://immovlan.be/en/detail/residence/for-sale/1170/watermaal-bosvoorde/vbd49586,house
https://immovlan.be/en/detail/residence/for-sale/3401/waasmont/vbd49582,house
https://immovlan.be/en/detail/residence/for-sale/2320/hoogstraten/rbu65973,house
https://immovlan.be/en/detail/residence/for-sale/1070/anderlecht/vbd49574,house
https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbd49570,house
https://immovlan.be/en/detail/residence/for-sale/4560/clavier/vbd49569,house
https://immovlan.be/en/detail/residence/for-sale/2860/sint-katelijne-waver/rbu65971,house
https://immovlan.be/en/detail/mixed-building/for-sale/3520/zonhoven/rbu65969,house
https://immovlan.be/en/detail/residence/for-sale/3560/lummen/rbu65968,house
https://immovlan.be/en/detail/residence/for-sale/3530/houthalen-helchteren/rbu65967,house
https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbd49561,house
https://immovlan.be/en/detail/residence/for-sale/2220/heist-op-den-berg/rbu65966,house
https://immovlan.be/en/detail/residence/for-sale/4400/flemalle/vbd49559,house
https://immovlan.be/en/detail/residence/for-sale/1770/liedekerke/vbd49558,house
https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbu65963,house
